Item ID,Item Name,Good Type,Ingredient Category,Recipe Unit,Purchase Unit,Purchase Unit Conversion,Market Prices
1763781587037-55-i04jtdbji,Lait Fermenté,Food,,,kg,,1763781587037-55-i04jtdbji>Lait Fermenté>supplier-1761652935093>Alazard>Food>>1>kg>1.95>>>>>>>|1775222926159-63-lvzmrqymt>LAIT FERMENTÉ 1L>supplier-1761652156967>Metro Auxerre>Food>>1>L>1.58>>>>>>>|1776688672456-7uxje7r5q>Lait fermenté 1l - Alsace lait>supplier-1761652935093>Alazard>Food>Bottle>1>pc>2.45>Bottle>1>>>>>|1776698786324-654md6lam>Lait fermenté 1l - paysan breton >supplier-1761652935093>Alazard>Food>Bottle>1>l>2.20>Bottle>1>>>>>
1763781585716-29-5dt4dm1ca,Maizena,Food,,,kg,,1763781585716-29-5dt4dm1ca>Maizena>supplier-1761652156967>Metro Auxerre>Food>>2.5>kg>11.66>>>>>>>
1763781586624-47-6fr6c50ak,Piment Poudre,Food,,,kg,,1763781586624-47-6fr6c50ak>Piment Poudre>supplier-1761652156967>Metro Auxerre>Food>>0.4>kg>2.96>>>>>>>
1763753075454-0-q7mpzszj1,Vinaigre Cidre,Food,Condiment,l,l,1,1763753075454-0-q7mpzszj1>Vinaigre Cidre (2606)>supplier-1761662500738>Cercle vert>Food>Bottle>0.75>l>1.52>Bottle>1>>>>>|1775222925785-40-hr5fz1w7i>VINAIGRE DE CIDRE 1L>supplier-1761652156967>Metro Auxerre>Food>>1>l>2.75>Bottle>1>>>>>
1763781586276-39-v71yq9z4a,Galette tortilla 25cm,Food,,,pc,,1763781586276-39-v71yq9z4a>Galette tortilla 25cm>supplier-1761652156967>Metro Auxerre>Food>>12>pc>3.44>>>>>>>|1776435517543-4oqwmgdwm>Tortillas 25cm (TORNAT25)>supplier-1767860980364>Prevogel>Food>Bag>108>pc>3.50>Bag>18>>>>>|1776686618085-2tlzn4xx8>Wrap tortilla nature 25cm >supplier-1761662500738>Cercle vert>Food>Carton>72>pc>41.64>Carton>72>>>>>
1763781586624-48-lg8f5ta59,Ail poudre,Food,,kg,kg,1,1763781586624-48-lg8f5ta59>Poudre Ail>supplier-1761652156967>Metro Auxerre>Food>>1>kg>7.56>>>>>>>
1763781585334-13-0y2gcnot8,Chocolat Noir 44%,Food,,,kg,,1763781585334-13-0y2gcnot8>Chocolat Noir 44%>supplier-1761652156967>Metro Auxerre>Food>>5>kg>38.40>>>>>>>
1763781584933-4-cumwcq5rv,Mini-Concombre,Food,,,kg,,1763781584933-4-cumwcq5rv>Mini-Concombre>supplier-1761662500738>Cercle vert>Food>>1>kg>0.76>>>>>>>
1763781586276-32-kutdzck31,Raisin Sec,Food,,,kg,,1763781586276-32-kutdzck31>Raisin Sec>supplier-1761652156967>Metro Auxerre>Food>>1>kg>5.26>>>>>>>
1763781584933-6-2bgxb9uxv,Sucre Blanc,Food,,kg,kg,1,1763781584933-6-2bgxb9uxv>Sucre Blanc>supplier-1761652156967>Metro Auxerre>Food>>20>kg>19.46>>>>>>>|1780058331393-bttemcykr>Sucre semoule (26596)>supplier-1761662500738>Cercle vert>Food>Bag>1>kg>1.10>Bag>1>>>>>|1775222925626-35-tcy4f0zda>SUCRE POUDRE 1KG ROCHAMBEAU>supplier-1761652156967>Metro Auxerre>Food>Bag>1>kg>1.50>Bag>1>>>>>
