Menu Item ID,Name,Display Name,Space,Brand Name,Type,Category,Ready for Sale,Combo Item,Number of Pieces,Is this a Promotion,Discounted Product,Promotion Type,Packaging Type,Number of units,Diet,Description,Recipe
menu-item-1764024595901-ypsgim8hg,Focaccia Jambon Prince de Paris,Focaccia jambon,Adidas Arena,EIF,Food,Autre food chaude,Yes,No,1.000,No,,,,1.000,,,pkg-1777103159077-6anld6ljy>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1764209114769-jlja6i3lh,Popcorn Salé,Popcorn salé,Aix Arena|SFP|PFC|Adidas Arena,fingerfood,Food,Snack salé,Yes,No,1.000,No,,,,1.000,,,ing-1776682675248-ahjstb2qk>Ingredient>1776677025228-1zvx88f8y>1776677025228-1zvx88f8y>1.000
menu-item-1766412451654-vymyhd1yd,Raclette Bowl,Raclette bowl,SFP|space-1762366011612|PFC,Food truck,Food,Autre food chaude,No,No,1.000,No,,,,,,,pkg-1777105527535-n3riwtxgq>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1768932296987-gq1pkd7yc,Ecocup,,La Beaujoire Nantes|Le Mans FC|SFP|Aix Arena,,Glasses,Ecocup,Yes,No,1.000,No,,,,,,,
menu-item-1774887217903-7zv12rg18,Menu Fan,Menu Fan,SFP,,Food,Autre food chaude,No,No,1.000,No,,,,,,,pkg-1777202780362-5mhx8fbrf>Packaging>pkg-1775227685860-ueadp9b8g>1.000
menu-item-1768932916932-ite8k3cdq,Offre étudiante,,La Beaujoire Nantes,,Food,Autre food chaude,Yes,No,1.000,No,,,,1.000,,,pkg-1780405271739-4ng4mpqk1>Packaging>1779439661214-4hnv6zxzo>1.000
menu-item-1775666558640-qasqw6wdi,Heineken 0% 50cl (Paris),Heineken 0% 50cl,PFC|SFP,Heineken,Beverage,Beer 0%,No,No,1.000,No,,,,,,,pkg-1775666977441-wfb10gn20>Packaging>pkg-1775288910887-6hf3gtxl1>1.000|ing-1776352837546-2mqhrqpff>Ingredient>1776349767214-wd6r7m5js>1776349767214-wd6r7m5js>0.500
menu-item-1768932651454-4nsjyhxnq,Heineken 0% CAN 33cl (Paris),Heineken 0% 33cl,PFC|SFP,Heineken,Beverage,Beer 0%,No,No,1.000,No,,,,,,,pkg-1775667242326-ya0qv0mz8>Packaging>pkg-1775288910887-6hf3gtxl1>1.000|ing-1776352900546-6b277zeja>Ingredient>1776350585094-beyyccx0c>1776350585094-beyyccx0c>1.000
menu-item-1768932483487-fdpmtfyrh,Gallia IPA 33cl (Paris),Gallia IPA 33cl,SFP,Gallia,Beverage,Beer,No,No,1.000,No,,,,,,,ing-1776352165831-o5zneiwhx>Ingredient>1776350650028-cd32jh3oz>1776350650028-cd32jh3oz>1.000|pkg-1776352171098-40qgzrun0>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
menu-item-1768934546574-dftc4fqa5,BRACELET - CHAMP,,PFC,,Ticket/Bracelets,Bracelet,Yes,No,1.000,No,,,,,,,
menu-item-1775667931717-hc9dgkv0l,Tartiflette Lardon,Tartiflette,Le Mans FC,,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777134755015-e1ffzppf0>Ingredient>1776697915119-my72di1ll>1776697915119-my72di1ll>1.000
menu-item-1764016364566-i38eu8tvf,MOJITO,,space-1762366011612|PFC,,Beverage,Mixology,Yes,No,1.000,No,,,,,,,
menu-item-1768932851611-ysp7b8gi8,Tropico + Ecocup,,La Beaujoire Nantes|Aix Arena,,Beverage,Soft Drink,Yes,No,1.000,No,,,,,,,
menu-item-1778603424126-0gfi3zr8k,PATATE GOURMANDE,,PFC|SFP,,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1780405364439-yml7k1tv5>Ingredient>1776697915119-my72di1ll>1776697915119-my72di1ll>0.200
menu-item-1765676729106-5zp8pwkkm,TICKET PLANCHE CHARCUTERIE,,space-1762366011612|PFC,,Ticket/Bracelets,Tickets,Yes,No,1.000,No,,,,,,,
menu-item-1764023899283-597n55i2x,Vin Blanc Bio Verre,,Adidas Arena,,Beverage,Wine,Yes,No,1.000,No,,,,1.000,,,pkg-1780405680620-xapii679v>Packaging>1775289048754-ig0fj1fc0>1.000
menu-item-1778603333485-k986p4lms,TICKET VIN,,SFP,,Beverage,Wine,No,No,1.000,No,,,,,,,pkg-1780405703236-lz8z4one9>Packaging>1775289048754-ig0fj1fc0>1.000
menu-item-1764016294948-9e81adwxz,Box 10 pièces,,space-1762366011612|PFC,,Combo,To Share,Yes,No,1.000,No,,,,,,,
menu-item-1763855233616-eblc9tspd,Wrap Provence,Wrap Provençal,Aix Arena,EIF,Food,Sandwich,No,No,1.000,No,,,,,,,ing-1777135451583-puxmf5vre>Ingredient>1776435517543-4oqwmgdwm>1776435517543-4oqwmgdwm>1.000
menu-item-1763837676000-ju69xr7uz,Hot Dog (Aux),Hot-dog,Auxerre|space-1762366011612,EIF,Food,Hot Dog,No,No,1.000,No,,,,,,,ing-1775243532311-fh9eabp55>Ingredient>1775222925238-18-ktxw5fg1u>1775222925238-18-ktxw5fg1u>1.000|ing-1775243589594-sz0imlo4n>Ingredient>1775222925626-31-f3ttu8vc4>1775222925626-31-f3ttu8vc4>0.080|comp-1775243613760-v8q1lkw27>Component>1775239770283>1.000|ing-1775243629659-6g7kaozkn>Ingredient>1775201649809-9b895ulkd>1775201649809-9b895ulkd>0.010|comp-1775243643027-3zwoa3piv>Component>1775238562484>0.020|ing-1775243664010-jhbeo85si>Ingredient>1775222924996-9-5mp1t5jxc>1775222924996-9-5mp1t5jxc>0.010|pkg-1775243677710-tvksn5as9>Packaging>pkg-1775227685860-ueadp9b8g>1.000|ing-1775737305823-lnexylngt>Ingredient>1775222925238-13-qjvaevk4x>1775222925238-13-qjvaevk4x>0.010
