ID,ID Transaction,Référence de transaction,Date/heure transaction,ID acheteur,Acheteur ID porte-monnaie,Prénom acheteur,Nom acheteur,Activité vendeuse,Type de marchand,ID point de vente,Nom point de vente,Type de point de vente,Sous-type de point de vente,Moyen de paiement,ID vendeur,Prénom vendeur,Nom vendeur,ID article,Article,SKU article,Nature,Famille d'article,Menu,ID Transaction Menu,Monnaie,Prix unitaire HT (promotion incluse),Prix unitaire TTC (promotion incluse),Quantité,Taux de TVA,Total HT (promotion incluse),Montant TVA (promotion incluse),Total TTC (promotion incluse)
15296,6082,A30T335E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,3,20.00%,2.50 €,0.50 €,3.00 €
15297,6082,A30T335E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,32,Coca Cola cherry,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,3,10.00%,10.91 €,1.09 €,12.00 €
15298,6082,A30T335E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,21,Hot dog,,FOOD,FOOD Salé,,,EUR,6.82 €,7.50 €,3,10.00%,20.45 €,2.05 €,22.50 €
15299,6083,A60T216E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,Cash,576,Manager,CONT 1,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15300,6083,A60T216E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,Cash,576,Manager,CONT 1,32,Coca Cola cherry,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,2,10.00%,7.27 €,0.73 €,8.00 €
15301,6083,A60T216E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,Cash,576,Manager,CONT 1,11,Frites,,FOOD,FOOD Salé,,,EUR,3.64 €,4.00 €,2,10.00%,7.27 €,0.73 €,8.00 €
15302,6083,A60T216E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,Cash,576,Manager,CONT 1,9,Burger Pulled Chicken,,FOOD,FOOD Salé,,,EUR,9.09 €,10.00 €,1,10.00%,9.09 €,0.91 €,10.00 €
15303,6084,A61T149E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,37,Retour Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,-0.83 €,-1.00 €,3,20.00%,-2.50 €,-0.50 €,-3.00 €
15304,6084,A61T149E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,3,20.00%,2.50 €,0.50 €,3.00 €
15305,6084,A61T149E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,3,20.00%,18.75 €,3.75 €,22.50 €
15306,6085,A31T573E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,6,111,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,573,Manager,111,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15307,6085,A31T573E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,6,111,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,573,Manager,111,15,Chips,,FOOD,SNACK,,,EUR,2.37 €,2.50 €,1,5.50%,2.37 €,0.13 €,2.50 €
15308,6085,A31T573E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,6,111,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,573,Manager,111,2,Coca Cola,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
15309,6085,A31T573E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,6,111,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,573,Manager,111,4,Fuze Tea,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
15310,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,2,Coca Cola,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
15311,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,33,Fanta,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
15312,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,6,20.00%,5.00 €,1.00 €,6.00 €
15313,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,4,Fuze Tea,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,2,10.00%,7.27 €,0.73 €,8.00 €
15314,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,15,Chips,,FOOD,SNACK,,,EUR,2.37 €,2.50 €,5,5.50%,11.85 €,0.65 €,12.50 €
15315,6086,A37T160E2O1776173,22/08/26 20:39,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,2,20.00%,12.50 €,2.50 €,15.00 €
15316,6087,A102T347E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,5,Kiosque Coca 1,BAR,GENERAL_PUBLIC,CB VIVAWALLET,578,Corentin,Rabot,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15317,6087,A102T347E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,5,Kiosque Coca 1,BAR,GENERAL_PUBLIC,CB VIVAWALLET,578,Corentin,Rabot,4,Fuze Tea,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,2,10.00%,7.27 €,0.73 €,8.00 €
